ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0002,1.6,45,4367,41.69910693840165,-0.11159196879257946,0.9157969163818326,661.8484647124286,3acf6689
0.0002,1.6,50,4118,41.33074307916465,-0.1178821813172221,0.910998952244547,638.8318942198991,3acf6689
0.0002,1.6,55,3647,40.52646010419523,-0.13993557515334099,0.8946092682643589,641.749614351518,3acf6689
0.0002,1.6,60,2934,40.21813224267212,-0.15094661359564696,0.8868330601259671,557.7020459089349,3acf6689
0.0004,0.8,40,4756,42.052144659377625,-0.05171960275929898,0.9562883607110665,495.25683514750335,3acf6689
0.0004,0.8,45,4672,42.03767123287671,-0.0514403036491502,0.9565878843307238,477.6421839303244,3acf6689
0.0004,0.8,50,4457,41.642360332061926,-0.0766320598528392,0.935911000647753,499.05895351071445,3acf6689
0.0004,0.8,55,4001,41.164708822794296,-0.07972329596420782,0.9335407722413228,479.65238470402045,3acf6689
0.0004,0.8,60,3341,40.82609997006884,-0.1114397981315434,0.9079786443077399,432.798292563591,3acf6689
0.0004,1.0,40,4756,42.052144659377625,-0.05171960275929898,0.9562883607110665,495.25683514750335,3acf6689
0.0004,1.0,45,4672,42.03767123287671,-0.0514403036491502,0.9565878843307238,477.6421839303244,3acf6689
0.0004,1.0,50,4457,41.642360332061926,-0.0766320598528392,0.935911000647753,499.05895351071445,3acf6689
0.0004,1.0,55,4001,41.164708822794296,-0.07972329596420782,0.9335407722413228,479.65238470402045,3acf6689
0.0004,1.0,60,3341,40.82609997006884,-0.1114397981315434,0.9079786443077399,432.798292563591,3acf6689
0.0004,1.2,40,4756,42.052144659377625,-0.05171960275929898,0.9562883607110665,495.25683514750335,3acf6689
0.0004,1.2,45,4672,42.03767123287671,-0.0514403036491502,0.9565878843307238,477.6421839303244,3acf6689
0.0004,1.2,50,4457,41.642360332061926,-0.0766320598528392,0.935911000647753,499.05895351071445,3acf6689
0.0004,1.2,55,4001,41.164708822794296,-0.07972329596420782,0.9335407722413228,479.65238470402045,3acf6689
0.0004,1.2,60,3341,40.82609997006884,-0.1114397981315434,0.9079786443077399,432.798292563591,3acf6689
0.0004,1.4,40,3839,41.23469653555614,-0.08189865939772101,0.9339171728680424,526.5228036792,3acf6689
0.0004,1.4,45,3783,41.15781126090404,-0.08439121149180796,0.9321002558715291,518.1763127901637,3acf6689
0.0004,1.4,50,3624,40.67328918322296,-0.11535853974423343,0.9078642976220916,543.7246769721339,3acf6689
0.0004,1.4,55,3288,40.632603406326034,-0.09916455593313225,0.9203452064944742,482.78031848124607,3acf6689
0.0004,1.4,60,2765,40.10849909584087,-0.1414458751405523,0.8875250135403449,468.4825348095809,3acf6689
0.0004,1.6,40,3175,41.16535433070866,-0.11185755541770316,0.911343314694833,496.18179920393146,3acf6689
0.0004,1.6,45,3130,41.054313099041536,-0.1163338279372049,0.9081324647038747,507.00755534347684,3acf6689
0.0004,1.6,50,3012,40.504648074369186,-0.1453128768067482,0.8862948214124539,544.1207016582675,3acf6689
