momentum_ratio_threshold,pullback_depth_min,pullback_depth_max,upper_wick_ratio_max,lower_wick_ratio_max,breakout_confirmation_required,trades,winrate,avg_R,profit_factor,max_drawdown
0.9,-1.0,,0.4,,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.4,0.5,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.4,0.5,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.4,0.6,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.4,0.6,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.4,0.7,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.4,0.7,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.95,,,,,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,,,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,,0.5,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,,0.5,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,,0.6,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,,0.6,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,,0.7,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,,0.7,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.2,,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.2,,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.2,0.5,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.2,0.5,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.2,0.6,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.2,0.6,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.2,0.7,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.2,0.7,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.3,,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.3,,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.3,0.5,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.3,0.5,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.3,0.6,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.3,0.6,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.3,0.7,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
